"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00QD,,00IV,00IZ,,       703,008J,001?,0005,??????,????,????,003?,000V,?-50,17.05.2004,17.05.2004,31.12.8888,,,,,,,,,,,,,,
00QE,,00N?,00IZ,,       704,008H,001?,0001,??????,????,????,003Y,0001,,,01.09.2007,31.12.2008,,,,,,,,,,,0009,?-499,19.12.2008,
00QF,,009D,00IZ,,       705,004h,001?,0005,??????,????,????,002I,0002,,,01.09.2007,01.07.2010,,,,,,,,,,,0009,?-310,30.06.2010,
00QG,,009F,00IZ,,       706,004h,001?,0005,??????,????,????,002I,0002,?-90,18.06.1998,16.06.1998,31.12.8888,,,,,,,,,,,,,,
00QH,,009G,00IZ,,       707,008N,001?,0005,??????,????,????,002K,0002,,,01.09.2007,06.11.2008,,,,,,,,,,,0009,?-437,06.11.2008,
00QI,,009I,00IZ,,       708,008N,001?,0005,??????,????,????,002K,0002,28,31.08.1962,29.08.1962,31.12.8888,,,000i,000j,,,,,,,,,,
00QJ,,009K,00IZ,,       709,004h,001?,0005,??????,????,????,002I,0002,170/?,21.10.1998,23.10.1998,31.12.8888,,,,,,,,,,,,,,
00QK,,009L,00IZ,,       710,004h,001?,0005,??????,????,????,002I,0002,?-152,26.10.1999,27.10.1999,31.12.8888,,,,,,,,,,,,,,
00QL,,009P,00IZ,,       711,004h,001?,0005,??????,????,????,002I,0002,117/?,24.09.2001,24.09.2001,31.12.8888,,,,,,,,,,,,,,
00QM,,009N,00IZ,,       712,004h,001?,0005,??????,????,????,002I,0002,,,01.09.2007,17.05.2010,,,,,,,,,,,0009,?-223,13.05.2010,
00QN,,009Q,00IZ,,       713,004h,001?,0005,??????,????,????,002I,0002,,,01.09.2007,27.01.2011,,,,,,,,,,,0009,?-23,25.01.2011,
00QO,,009S,00IZ,,       714,004h,001?,0005,??????,????,????,002I,0002,?-12,29.01.2002,04.02.2002,31.12.8888,,,,,,,,,,,,,,
00QP,,009T,00IZ,,       715,,001?,0005,??????,????,????,002I,0002,,01.11.2007,01.09.2007,31.07.2008,,,,,,,,,,,,,,
00QQ,,009V,00IZ,,       716,008N,001?,0005,??????,????,????,002K,0002,?-94,01.08.2002,05.08.2002,31.12.8888,,,,,,,,,,,,,,
00QR,,00Lz,00IZ,,       717,004h,001?,0005,??????,????,????,002I,0002,?-95,07.08.2002,07.08.2002,31.12.8888,,,,,,,,,,,,,,
00QS,,00IY,00IZ,,       718,004h,001?,0005,??????,????,????,002I,0002,?-6,17.01.2003,21.01.2003,31.12.8888,,,,,,,,,,,,,,
00QT,,00Ic,00IZ,,       719,004h,001?,0005,??????,????,????,002I,0002,,,01.09.2007,14.05.2010,,,,,,,,,,,0009,?-218,11.05.2010,
00QU,,00Id,00IZ,,       720,004h,001?,0005,??????,????,????,002I,0002,91/?,29.08.2004,20.08.2004,31.12.8888,,,,,,,,,,,,,,
00QV,,00N?,00IZ,,       721,004h,001?,0001,??????,????,????,002I,0002,,,01.09.2007,04.12.2009,,,,,,,,,,,0009,?-587,02.12.2009,
00QW,,00G2,00Gk,,       722,008?,0017,0005,??????,????,????,004u,0003,153/?,02.11.1995,03.11.1995,31.12.8888,,,,,,,,,,,,,,
00QY,,00Kg,00IZ,,       724,004h,001?,0005,??????,????,????,002I,0002,,,01.09.2007,14.11.2011,,,,,,,,,,,0009,?-613,10.11.2011,
00QZ,,00V?,00IZ,,       725,004h,001?,0005,??????,????,????,002I,0002,,,01.09.2007,23.10.2009,,,,,,,,,,,0009,?-516,16.10.2009,
00Qa,,00Lp,00IZ,,       726,008R,001?,0005,??????,????,????,002I,0002,,,01.09.2007,02.07.2011,,,,,,,,,,,0009,299/?,17.06.2011,
00Qb,,00N5,00IZ,,       727,004h,001?,0005,??????,????,????,002I,0002,315,13.09.2007,13.09.2007,28.02.2013,,,,,,,,,,,0009,?-175,27.02.2013,
