"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00y?,,00a?,00Jw,?,      1274,007O,000s,0003,????,????,????,001f,0003,?-609,08.11.2011,01.11.2011,16.11.2011,,,,,,,,,,,0009,?-618,11.11.2011,
00y?,,00EL,00S?,?,      1275,007?,001D,0003,????,????,????,0033,000M,?-609,08.11.2011,14.11.2011,11.12.2011,,,,,,,,,,,0009,?-685,06.12.2011,
00y?,,00bv,00Gi,,      8670,005?,000P,0005,??????,????,????,002D,0002,?-608,08.11.2011,08.11.2011,31.12.8888,,,,,,,,,,,,,,
00y?,,00Y?,00Jo,,      8671,005?,000q,0001,??????,????,????,001m,0003,?-616,11.11.2011,08.11.2011,05.12.2011,,,,,,,,,,,0009,?-680,05.12.2011,
00y?,,009B,00IZ,?,      1276,008H,001?,0003,????,????,????,003Y,0001,?-617,11.11.2011,07.11.2011,31.12.8888,,,,,,,,,,,,,,
00y?,,00bw,00w?,,      8672,006J,001m,0005,??????,????,????,001m,0003,?-619,11.11.2011,17.11.2011,24.10.2012,,,,,,,,,,,0009,?-844,19.10.2012,
00y?,,00Z9,00ww,,      8673,00C?,002x,0005,??????,????,????,003V,0002,?-619,11.11.2011,11.11.2011,31.12.8888,,,,,,,,,,,,,,
00y?,,00U?,00Iv,,      8674,0084,001?,0004,??????,????,????,003O,000Q,?-622,15.11.2011,20.11.2011,25.12.2011,,,,,,,,,,,0009,?-745,27.12.2011,
00y?,,00bx,00X1,,      8675,007a,001u,0005,??????,????,????,001o,0003,?-622,15.11.2011,16.11.2011,31.12.8888,,,,,,,,,,,,,,
00y?,,00by,00Jo,,      8676,00Cg,002?,0005,??????,????,????,001k,0003,?-622,15.11.2011,18.11.2011,31.12.8888,,,,,,,,,,,,,,
00y?,,00Vq,00Gj,?,      1277,005W,000i,0003,????,????,????,001k,0003,?-624,15.11.2011,01.11.2011,11.11.2011,,,,,,,,,,,0009,?-625,16.11.2011,
00y?,,008I,00Gj,?,      1278,005L,000i,0003,????,????,????,001B,0001,?-624,15.11.2011,07.11.2011,18.11.2011,,,,,,,,,,,0009,?-625,16.11.2011,
00y?,,00Dg,00Jw,?,      1279,007Q,000s,0003,????,????,????,001h,0003,?-624,15.11.2011,09.11.2011,30.12.2011,,,,,,,,,,,,,,
00y?,,00a?,00IZ,?,      1280,004h,001?,0003,????,????,????,002I,0002,?-624,15.11.2011,14.11.2011,15.12.2011,,,,,,,,,,,0009,?-679,05.12.2011,
00y?,,00bz,00X1,,      8677,007a,001u,0005,??????,????,????,001o,0003,?-626,16.11.2011,16.11.2011,31.12.8888,,,,,,,,,,,,,,
00zG,,00bf,00JI,?,      1281,006?,0012,0003,????,????,????,001m,0003,?-629,16.11.2011,01.11.2011,10.12.2012,,,,,,,,,,,0009,?-1023,10.12.2012,
00zH,,00Np,00Gk,?,      1282,007F,0017,0003,????,????,????,001m,0003,?-629,16.11.2011,14.11.2011,01.05.2012,,,,,,,,,,,0009,?-337,26.04.2012,
00zI,,00Yi,00Gk,?,      1283,007F,0017,0003,????,????,????,001m,0003,?-629,16.11.2011,14.11.2011,01.05.2012,,,,,,,,,,,0009,?-337,26.04.2012,
00zJ,,002a,00w?,?,      1284,006F,001m,0003,????,????,????,002D,0002,?-629,16.11.2011,01.11.2011,30.11.2011,,,,,,,,,,,0009,?-658,25.11.2011,
00zK,,00aV,00w?,?,      1285,005?,000j,0003,????,????,????,001K,0001,?-629,16.11.2011,01.11.2011,17.11.2011,,,,,,,,,,,0009,?-630,16.11.2011,
00zL,,00M?,00w?,?,      1286,005?,000j,0003,????,????,????,001K,0001,?-629,16.11.2011,01.11.2011,17.11.2011,,,,,,,,,,,0009,?-630,16.11.2011,
00zM,,007X,00w?,?,      1287,005?,000j,0003,????,????,????,001K,0001,?-629,16.11.2011,01.11.2011,17.11.2011,,,,,,,,,,,0009,?-630,16.11.2011,
00zN,,007U,00w?,?,      1288,005?,000j,0003,????,????,????,001K,0001,?-629,16.11.2011,01.11.2011,17.11.2011,,,,,,,,,,,0009,?-630,16.11.2011,
00zO,,007o,00w?,?,      1289,005?,000j,0003,????,????,????,002D,0002,?-629,16.11.2011,01.11.2011,05.10.2012,,,,,,,,,,,0009,?-827,15.10.2012,
00zP,,007Y,00w?,?,      1290,005?,000j,0003,????,????,????,002D,0002,?-629,16.11.2011,04.11.2011,24.11.2011,,,,,,,,,,,0009,?-641,21.11.2011,
00zQ,,00VZ,00w?,?,      1291,009?,000j,0003,????,????,????,000o,0003,?-629,16.11.2011,01.11.2011,11.07.2012,,,,,,,,,,,0009,?-522,10.07.2012,
00zU,,00bv,00Gi,?,      1292,005?,000P,0003,????,????,????,002D,0002,?-634,18.11.2011,08.11.2011,30.11.2011,,,,,,,,,,,0009,?-658,25.11.2011,
00zV,,00b7,00Jq,?,      1293,006R,001n,0003,????,????,????,001m,0003,?-634,18.11.2011,01.12.2011,07.03.2012,,,,,,,,,,,0009,?-181,05.03.2012,
00zW,,00bx,00Ss,?,      1294,007a,001u,0003,????,????,????,001o,0003,?-634,18.11.2011,16.11.2011,30.12.2011,,,,,,,,,,,,,,
00zX,,00Mn,00w?,?,      1295,005?,000j,0003,????,????,????,002B,0002,?-634,18.11.2011,01.11.2011,29.11.2011,,,,,,,,,,,0009,?-658,25.11.2011,
00zY,,002V,00w?,?,      1296,006F,001m,0003,????,????,????,002D,0002,?-634,18.11.2011,01.11.2011,19.07.2012,,,,,,,,,,,0009,?-549,20.07.2012,
00zZ,,00Dp,00w?,?,      1297,009?,001m,0003,????,????,????,000o,0003,?-634,18.11.2011,01.11.2011,20.01.2014,,,,,,,,,,,0009,?-34,22.01.2014,
00za,,00Z?,00aJ,?,      1298,007?,001D,0003,????,????,????,0037,000Q,?-634,18.11.2011,03.11.2011,22.03.2012,,,,,,,,,,,0009,?-220,20.03.2012,
00zb,,004p,00X1,?,      1299,007Z,001u,0003,????,????,????,002A,0002,?-634,18.11.2011,01.11.2011,17.01.2014,,,,,,,,,,,0009,?-84,07.02.2014,
00zc,,004H,00X1,?,      1300,007X,001u,0003,????,????,????,001H,0001,?-634,18.11.2011,01.11.2011,17.01.2014,,,,,,,,,,,0009,?-84,07.02.2014,
00zd,,00Fg,00X1,?,      1301,007X,001u,0003,????,????,????,001H,0001,?-634,18.11.2011,01.11.2011,17.01.2014,,,,,,,,,,,0009,?-84,07.02.2014,
00ze,,00NY,00X1,?,      1302,007Z,001u,0003,????,????,????,002A,0002,?-634,18.11.2011,01.11.2011,17.01.2014,,,,,,,,,,,0009,?-84,07.02.2014,
00zf,,004e,00Jw,?,      1303,007K,000s,0003,????,????,????,0026,0002,?-634,18.11.2011,09.11.2011,01.01.2012,,,,,,,,,,,0009,?-43,19.01.2012,
00zg,,00YU,00J8,?,      1304,006?,000x,0003,????,????,????,0044,0003,?-634,18.11.2011,01.11.2011,09.01.2013,,,,,,,,,,,0009,?-43,22.01.2013,
00zh,,00HF,00J8,?,      1305,006?,000x,0003,????,????,????,001G,0001,?-634,18.11.2011,01.11.2011,25.12.2011,,,,,,,,,,,,,,
00zi,,00HI,00J8,?,      1306,006?,000x,0003,????,????,????,001G,0001,?-634,18.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00zj,,00M?,00J8,?,      1307,006?,000x,0003,????,????,????,001G,0001,?-634,18.11.2011,01.11.2011,02.08.2013,,,,,,,,,,,0009,?-566,31.07.2013,
00zk,,00Ha,00J8,?,      1308,006?,000x,0003,????,????,????,0044,0003,?-634,18.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00zl,,00Y?,00J8,?,      1309,006?,000x,0003,????,????,????,0044,0003,?-634,18.11.2011,01.11.2011,21.09.2012,,,,,,,,,,,0009,?-619,09.08.2012,
00zm,,00HH,00J8,?,      1310,006?,000x,0003,????,????,????,001G,0001,?-634,18.11.2011,01.11.2011,02.08.2013,,,,,,,,,,,0009,?-566,31.07.2013,
00zn,,00Mm,00J8,?,      1311,006?,000x,0003,????,????,????,001G,0001,?-634,18.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00zo,,00HE,00J8,?,      1312,006?,000x,0003,????,????,????,001G,0001,?-634,18.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00zp,,00Q?,00J8,?,      1313,006?,000x,0003,????,????,????,001G,0001,?-634,18.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00zq,,00Bs,00aJ,?,      1314,007l,000z,0003,????,????,????,004L,0001,?-634,18.11.2011,14.11.2011,07.12.2011,,,,,,,,,,,0009,?-702,12.12.2011,
00zr,,00Bp,00aJ,?,      1315,007l,000z,0003,????,????,????,004L,0001,?-634,18.11.2011,14.11.2011,07.12.2011,,,,,,,,,,,0009,?-702,12.12.2011,
00zs,,00Bn,00JI,?,      1316,007l,000z,0003,????,????,????,004L,0001,?-634,18.11.2011,14.11.2011,07.12.2011,,,,,,,,,,,0009,?-702,12.12.2011,
00zt,,00Bq,00cN,?,      1317,007l,000z,0003,????,????,????,004L,0001,?-634,18.11.2011,16.11.2011,07.12.2011,,,,,,,,,,,0009,?-702,12.12.2011,
00zu,,00b?,00w?,,      8678,006J,001m,0005,??????,????,????,001m,0003,?-631,17.11.2011,21.11.2011,25.01.2012,,,,,,,,,,,0009,?-60,26.01.2012,
00zv,,00b?,00JC,,      8679,006?,000v,0005,??????,????,????,0025,0002,?-631,17.11.2011,21.11.2011,06.06.2012,,,,,,,,,,,0009,?-427,04.06.2012,
00z?,,00Bq,00cN,?,      1318,009n,002F,0003,????,????,????,001F,0001,?-637,18.11.2011,16.11.2011,07.12.2011,,,,,,,,,,,0009,?-721,16.12.2011,
00z?,,00Bp,00cN,?,      1319,009n,002F,0003,????,????,????,001F,0001,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00Bs,00cN,?,      1320,009n,002F,0003,????,????,????,001F,0001,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00BQ,00cN,?,      1321,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00BX,00cN,?,      1322,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,27.09.2013,,,,,,,,,,,0009,?-730,27.09.2013,
00z?,,00BL,00cN,?,      1323,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00BI,00cN,?,      1324,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,000o,00cN,?,      1325,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00BN,00cN,?,      1326,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,28.02.2013,,,,,,,,,,,0009,?-189,04.03.2013,
00z?,,00BW,00cN,?,      1327,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00BV,00cN,?,      1328,009l,002F,0003,????,????,????,002G,0002,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,0031,00cN,?,      1329,009n,002F,0003,????,????,????,001F,0001,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00Bn,00cN,?,      1330,009n,002F,0003,????,????,????,001F,0001,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00Bu,00cN,?,      1331,009n,002F,0003,????,????,????,001F,0001,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00Bo,00cN,?,      1332,00A1,002F,0003,????,????,????,003c,000K,?-637,18.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00HZ,00J8,?,      1333,006?,000x,0003,????,????,????,0044,0003,?-640,21.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00Z?,00Jq,?,      1334,006R,001n,0003,????,????,????,001m,0003,?-640,21.11.2011,01.12.2011,01.04.2012,,,,,,,,,,,0009,?-248,27.03.2012,
00z?,,00XJ,00Jq,?,      1335,006R,001n,0003,????,????,????,001m,0003,?-640,21.11.2011,01.12.2011,01.04.2012,,,,,,,,,,,0009,?-248,27.03.2012,
00z?,,007u,00c?,?,      1336,007n,000z,0003,????,????,????,004M,0003,640/?,21.11.2011,26.01.1998,07.11.2013,,,,,,,,,,,0009,?-835,08.11.2013,
00z?,,00Bm,00c?,?,      1337,007l,000z,0003,????,????,????,004L,0001,?-640,21.11.2011,01.11.2011,08.11.2013,,,,,,,,,,,0009,?-849,14.11.2013,
00z?,,00UR,00Gk,?,      1338,007F,0017,0003,????,????,????,001m,0003,?-640,21.11.2011,01.11.2011,01.05.2012,,,,,,,,,,,0009,?-337,26.04.2012,
00z?,,00T?,00Gk,?,      1339,007F,0017,0003,????,????,????,001m,0003,?-640,21.11.2011,01.11.2011,01.05.2012,,,,,,,,,,,0009,?-337,26.04.2012,
00z?,,00Fu,00Gk,?,      1340,007B,0017,0003,????,????,????,002D,0002,?-640,21.11.2011,01.11.2011,01.12.2011,,,,,,,,,,,0009,?-666,30.11.2011,
00z?,,00BH,00JI,?,      1341,006?,0012,0003,????,????,????,002D,0002,?-640,21.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00M?,00JI,?,      1342,006?,0012,0003,????,????,????,002D,0002,?-640,21.11.2011,01.11.2011,01.03.2012,,,,,,,,,,,0009,?-154,28.02.2012,
00z?,,00U?,00w?,?,      1343,005?,000j,0003,????,????,????,002D,0002,?-640,21.11.2011,01.11.2011,14.01.2013,,,,,,,,,,,0009,?-20,15.01.2013,
00z?,,00NE,00JI,?,      1344,006?,0012,0003,????,????,????,002D,0002,?-640,21.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00SI,00JI,?,      1345,006?,0012,0003,????,????,????,002D,0002,?-640,21.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00z?,,00Q?,00Jo,,      8680,005?,000q,0005,??????,????,????,001m,0003,?-642,22.11.2011,23.11.2011,13.01.2012,,,,,,,,,,,0009,?-18,16.01.2012,
00?Z,,00SS,00J6,,      8681,007?,001D,0005,??????,????,????,003G,000Q,?-642,22.11.2011,23.11.2011,28.02.2013,,,,,,,,,,,0009,?-146,19.02.2013,
00?a,,004c,00Jw,?,      1346,007K,000s,0003,????,????,????,0026,0002,?-643,22.11.2011,01.11.2011,01.01.2012,,,,,,,,,,,0009,?-43,19.01.2012,
00?b,,004c,00Jw,?,      1347,007L,000s,0003,????,????,????,0027,0002,?-643,22.11.2011,01.11.2011,28.11.2013,,,,,,,,,,,0009,?-875,28.11.2013,
00?c,,004M,00Jw,?,      1348,007H,000s,0003,????,????,????,001B,0001,?-643,22.11.2011,01.11.2011,09.01.2012,,,,,,,,,,,0009,?-118,15.02.2012,
00?d,,00Z?,00Jl,?,      1349,007?,001D,0003,????,????,????,003C,000Q,?-643,22.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?e,,00bH,00Jl,?,      1350,007?,001D,0003,????,????,????,003F,000Q,?-643,22.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?f,,00L?,00Jq,?,      1351,006G,001m,0003,????,????,????,002F,0002,?-643,22.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?g,,00Gk,00Jq,?,      1352,006G,001m,000J,????,????,????,002F,0002,?-643,22.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?h,,00Gj,00Jq,?,      1353,006G,001m,0003,????,????,????,002F,0002,?-643,22.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?i,,00bz,00X1,?,      1354,007a,001u,0003,????,????,????,001o,0003,?-643,22.11.2011,16.11.2011,31.12.8888,,,,,,,,,,,,,,
00?j,,00a?,00Iw,?,      1355,009W,001D,0003,????,????,????,004?,000R,?-643,22.11.2011,03.11.2011,31.12.8888,,,,,,,,,,,,,,
00?k,,004F,00Jw,?,      1356,007I,000s,0003,????,????,????,0049,0001,?-643,22.11.2011,01.11.2011,28.11.2013,,,,,,,,,,,0009,?-875,28.11.2013,
00?l,,00Y?,00Ib,?,      1357,000?,000g,0003,????,????,????,002D,0002,?-643,22.11.2011,19.11.2011,03.02.2014,,,,,,,,,,,0009,?-59,30.01.2014,
00?m,,00U?,00Jq,?,      1358,006G,001m,0003,????,????,????,002F,0002,?-643,22.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00aM,00IZ,?,      1359,008J,001?,0003,????,????,????,003?,000V,?-648,23.11.2011,01.11.2011,14.05.2012,,,,,,,,,,,0009,?-383,16.05.2012,
00??,,00M?,00IZ,?,      1360,008J,001?,0003,????,????,????,003?,000V,?-648,23.11.2011,01.11.2011,14.05.2012,,,,,,,,,,,0009,?-383,16.05.2012,
00??,,00Ij,00IZ,?,      1361,00A?,001?,0003,????,????,????,004?,0003,?-648,23.11.2011,01.11.2011,30.09.2013,,,,,,,,,,,0009,?-773,10.10.2013,
00??,,00Lw,00IZ,?,      1362,008O,001?,0003,????,????,????,004m,0003,?-648,23.11.2011,01.11.2011,31.08.2012,,,,,,,,,,,0009,?-903,31.10.2012,
00??,,00a?,00IZ,?,      1363,008R,001?,0003,????,????,????,002I,0002,?-648,23.11.2011,01.12.2011,31.08.2012,,,,,,,,,,,0009,?-660,20.08.2012,
00??,,00Cm,00IZ,?,      1364,008R,001?,0003,????,????,????,002I,0002,?-648,23.04.2012,01.11.2011,23.04.2012,,,,,,,,,,,0009,?-297,13.04.2012,
00??,,00IY,00IZ,?,      1365,008R,001?,0003,????,????,????,002I,0002,?-648,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00IT,00IZ,?,      1366,008H,001?,0003,????,????,????,003Y,0001,?-648,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00ZH,00IZ,?,      1367,004h,001?,0003,????,????,????,002I,0002,?-648,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00Lz,00IZ,?,      1368,004h,001?,0003,????,????,????,002I,0002,?-648,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00IV,00IZ,?,      1369,008J,001?,0003,????,????,????,003?,000V,?-648,23.11.2011,01.11.2011,08.04.2013,,,,,,,,,,,0009,?-296,11.04.2013,
00??,,00IU,00IZ,?,      1370,008J,001?,0003,????,????,????,003?,000V,?-648,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00aR,00IZ,?,      1371,008H,001?,0003,????,????,????,003Y,0001,?-648,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00IJ,00c?,?,      1372,006?,001?,0003,????,????,????,002G,0002,?-648,23.11.2011,14.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00Ml,00JH,?,      1373,006?,0010,0003,????,????,????,002a,0003,?-648,23.11.2011,21.11.2011,26.11.2011,,,,,,,,,,,0009,?-649,23.11.2011,
00??,,00KZ,00aJ,?,      1374,008R,001?,0003,????,????,????,002I,0002,?-648,23.11.2011,01.12.2011,31.01.2012,,,,,,,,,,,0009,?-120,15.02.2012,
00??,,00A2,00J9,?,      1375,006?,0010,0003,????,????,????,002a,0003,?-648,23.11.2011,21.11.2011,31.12.2011,,,,,,,,,,,0009,?-3,10.01.2012,
00??,,00Yh,00Jo,?,      1376,005?,000q,0003,????,????,????,002D,0002,?-653,23.11.2011,01.11.2011,01.04.2012,,,,,,,,,,,0009,?-206,15.03.2012,
00??,,00S?,00Jo,?,      1377,005?,000q,0003,????,????,????,002D,0002,?-653,23.11.2011,01.11.2011,01.03.2012,,,,,,,,,,,0009,?-138,22.02.2012,
00??,,00V?,00Jo,?,      1378,005?,000q,0003,????,????,????,002D,0002,?-653,23.11.2011,01.11.2011,01.11.2013,,,,,,,,,,,0009,?-799,28.10.2013,
00??,,00Eh,00Jo,?,      1379,00DG,002?,0003,????,????,????,003V,0002,?-653,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00EZ,00Jo,?,      1380,00DG,002?,0003,????,????,????,003V,0002,?-653,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00U0,00Jo,?,      1381,00DI,002?,0003,????,????,????,001s,0003,?-653,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00VI,00Jo,?,      1382,005?,000q,0003,????,????,????,001l,0003,?-653,23.11.2011,01.11.2011,21.10.2012,,,,,,,,,,,0009,?-834,16.10.2012,
00??,,00Y?,00Jo,?,      1383,00DG,002?,0003,????,????,????,003V,0002,?-653,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00Uv,00Jo,?,      1384,00DL,002?,0003,????,????,????,004m,0003,?-653,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00Wn,00IZ,?,      1385,008O,001?,0003,????,????,????,004m,0003,?-653,23.11.2011,01.11.2011,22.01.2012,,,,,,,,,,,0009,?-51,23.01.2012,
00??,,00N4,00IZ,?,      1386,008O,001?,0003,????,????,????,004m,0003,?-653,23.11.2011,01.11.2011,22.01.2012,,,,,,,,,,,0009,?-51,23.01.2012,
00??,,009P,00IZ,?,      1387,004h,001?,0003,????,????,????,002I,0002,?-653,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00??,,00b?,00J9,,      8682,007?,001D,0005,??????,????,????,0037,000Q,?-650,23.11.2011,29.11.2011,19.09.2013,,,,,,,,,,,0009,?-677,05.09.2013,
00?J,,00Fu,00Gk,?,      1411,007B,0017,0003,????,????,????,002D,0002,?-660,28.11.2011,17.12.2011,13.01.2012,,,,,,,,,,,0009,?-7,11.01.2012,
00?K,,00Ek,00Jo,?,      1412,00DG,002?,0003,????,????,????,003V,0002,?-660,28.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?L,,00Q?,00Jo,?,      1413,005?,000q,0003,????,????,????,001m,0003,?-660,28.11.2011,23.11.2011,13.01.2012,,,,,,,,,,,0009,?-122,16.02.2012,
00?M,,00Ca,00Gk,?,      1414,007B,0017,0003,????,????,????,002D,0002,?-660,28.11.2011,01.12.2011,14.12.2011,,,,,,,,,,,0009,?-685,06.12.2011,
00?N,,00af,00Jw,,      8683,007H,000s,0005,??????,????,????,001B,0001,?-661,28.11.2011,29.11.2011,03.08.2012,,,,,,,,,,,0009,?-605,06.08.2012,
00?O,,00Ac,00c?,?,      1415,008?,001?,0003,????,????,????,001y,0002,?-657,23.11.2011,28.11.2011,12.12.2011,,,,,,,,,,,0009,?-685,06.12.2011,
00?P,,006V,00X3,?,      1416,006g,001p,0003,????,????,????,003?,0002,?-657,23.11.2011,01.11.2011,30.11.2011,,,,,,,,,,,0009,?-667,30.11.2011,
00?Q,,00LR,00X3,?,      1417,006g,001p,0003,????,????,????,003?,0002,?-657,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?R,,00Bz,00X3,?,      1418,006m,001p,0003,????,????,????,001m,0003,?-657,23.11.2011,01.11.2011,01.11.2013,,,,,,,,,,,0009,?-828,07.11.2013,
00?T,,00Ik,00Ib,?,      1420,005a,000g,0003,????,????,????,001B,0001,?-657,23.11.2011,20.11.2011,09.01.2012,,,,,,,,,,,0009,?-737,23.12.2011,
00?U,,006k,00Ib,?,      1421,005a,000g,0003,????,????,????,001B,0001,?-657,23.11.2011,20.11.2011,09.01.2012,,,,,,,,,,,0009,?-744,26.12.2011,
00?V,,006p,00Ib,?,      1422,005a,000g,0003,????,????,????,001B,0001,?-657,23.11.2011,20.11.2011,09.01.2012,,,,,,,,,,,0009,?-737,23.12.2011,
00?W,,00M?,00Gj,?,      1423,005O,000i,0003,????,????,????,002D,0002,?-657,23.11.2011,01.11.2011,31.07.2013,,,,,,,,,,,0009,?-552,25.07.2013,
00?X,,00X?,00Gj,?,      1424,005O,000i,0003,????,????,????,002D,0002,?-657,23.11.2011,01.11.2011,20.07.2013,,,,,,,,,,,0009,?-509,09.07.2013,
00?Y,,00Z?,00Gj,?,      1425,005O,000i,0003,????,????,????,002D,0002,?-657,23.11.2011,01.11.2011,12.02.2013,,,,,,,,,,,0009,?-130,13.02.2013,
00?Z,,00M?,00Gj,?,      1426,005O,000i,0003,????,????,????,002D,0002,?-657,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?a,,00Lx,00Gj,?,      1427,005O,000i,0003,????,????,????,002D,0002,?-657,23.11.2011,01.11.2011,30.09.2012,,,,,,,,,,,0009,?-43,22.01.2013,
00?b,,00X1,00Gj,?,      1428,005O,000i,0003,????,????,????,002D,0002,?-657,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?c,,009o,00JH,?,      1429,006q,0011,0003,????,????,????,001F,0001,?-657,23.11.2011,28.11.2011,11.12.2011,,,,,,,,,,,,,,
00?d,,00X?,00JH,?,      1430,006q,0011,0003,????,????,????,001F,0001,?-657,23.11.2011,14.11.2011,23.12.2011,,,,,,,,,,,0009,?-727,21.12.2011,
00?g,,009x,00JH,?,      1433,006q,0011,0003,????,????,????,001F,0001,?-657,23.11.2011,14.11.2011,11.12.2011,,,,,,,,,,,0009,?-685,06.12.2011,
00?h,,00bp,00Gi,?,      1434,005?,000P,0003,????,????,????,002D,0002,?-657,23.11.2011,01.12.2011,31.12.8888,,,,,,,,,,,,,,
00?i,,00HK,00J8,?,      1435,009?,002O,0003,????,????,????,002A,0002,?-657,23.11.2011,01.11.2011,31.12.8888,,,,,,,,,,,,,,
00?j,,00HG,00J8,?,      1436,006?,000x,0003,????,????,????,001G,0001,?-657,23.11.2011,01.11.2011,25.12.2011,,,,,,,,,,,,,,
00?k,,00Z?,00X3,?,      1437,006m,001p,0003,????,????,????,001m,0003,?-657,23.11.2011,01.11.2011,01.11.2013,,,,,,,,,,,0009,?-828,07.11.2013,
00?l,,00M0,00IY,?,      1438,006T,000L,0003,????,????,????,001B,0001,?-662,29.11.2011,28.11.2011,07.12.2011,,,,,,,,,,,0009,?-675,02.12.2011,
00?m,,0045,00IY,?,      1439,006T,000L,0003,????,????,????,001B,0001,?-662,29.11.2011,28.11.2011,07.12.2011,,,,,,,,,,,0009,?-675,02.12.2011,
00?n,,0043,00IY,?,      1440,006T,000L,0003,????,????,????,001B,0001,?-662,29.11.2011,28.11.2011,07.12.2011,,,,,,,,,,,0009,?-675,02.12.2011,
00?o,,00Sb,00IY,?,      1441,006T,000L,0003,????,????,????,001B,0001,?-662,29.11.2011,28.11.2011,07.12.2011,,,,,,,,,,,0009,?-675,02.12.2011,
00?p,,00P1,00Jq,?,      1442,006P,001n,0003,????,????,????,001n,0003,?-662,29.11.2011,05.12.2011,20.12.2011,,,,,,,,,,,0009,?-711,14.12.2011,
