"POSTCH_RN,C,4","POSTBS_RN,C,4","CHSTARTDAT,D","CHENDDATE,D","ISSTAFF,L","SOSTZAT_RN,C,4","GRRBDC_RN,C,4","STQNT,N,6,3","WORKTIMECA,C,1","FZPCALC,C,1","RANKMIN,N,4,0","RANKMAX,N,4,0","WRKRANK_RN,C,4","CHNOMINATI,M","CHGENITIVE,M","CHDATIVE,M","CHACCUSATI,M","CHABLATIVE,M","CHPREPOSIT,M","CHSNOMINAT,C,240","CHSGENITIV,C,240","CHSDATIVE,C,240","CHSACCUSAT,C,240","CHSABLATIV,C,240","CHSPREPOSI,C,240","SPECPOST,C,80","SPECDBL,C,80","ADDSOLPFR,C,1","DOC_RN,C,4","DOC_NUM,C,10","DOC_DATE,D","DOCORG_RN,C,4"
005?,005?,01.11.1945,31.12.8888,??????,,,"1,25",?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.2013,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,4,?,?,2,4,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,4,?,?,12,17,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,"9,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
0060,0060,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
0061,0061,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
0062,0062,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
0063,0063,01.11.1945,31.12.8888,??????,0006,,"0,001",?,?,2,3,,,,,,,,,,,,,,,,,,,,
0064,0064,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
0065,0065,01.11.1945,31.12.8888,??????,0006,,22,?,?,8,11,,,,,,,,,,,,,,,,,,,,
0066,0066,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
0067,0067,01.11.1945,31.12.8888,??????,0006,,22,?,?,2,3,,,,,,,,,,,,,,,,,,,,
0068,0068,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
0069,0069,01.11.1945,31.12.8888,??????,0006,,5,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006A,006A,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006B,006B,01.11.1945,31.12.8888,??????,0006,,4,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006C,006C,01.11.1945,31.12.8888,??????,,,1,?,?,14,18,,,,,,,,,,,,,,,,,,,,
006D,006D,01.11.1945,31.12.8888,??????,,,"20,25",?,?,12,17,,,,,,,,,,,,,,,,,,,,
006E,006E,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
006F,006F,01.11.1945,31.12.2012,??????,,,9,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006G,006G,01.11.1945,31.12.8888,??????,0006,,"40,75",?,?,8,11,,,,,,,,,,,,,,,,,,,,
006H,006H,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006I,006I,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006J,006J,01.11.1945,31.12.8888,??????,,,2,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006K,006K,01.11.1945,31.12.8888,??????,,,1,?,?,14,18,,,,,,,,,,,,,,,,,,,,
006L,006L,01.11.1945,31.12.8888,??????,,,6,?,?,12,17,,,,,,,,,,,,,,,,,,,,
006M,006M,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
006N,006N,01.11.1945,31.12.2013,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006O,006O,01.11.1945,31.12.8888,??????,,,15,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006P,006P,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006Q,006Q,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006R,006R,01.11.1945,31.12.8888,??????,,,2,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006S,006S,01.11.1945,31.12.8888,??????,,,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
006T,006T,01.11.1945,31.12.8888,??????,,,"6,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
006U,006U,01.11.1945,31.12.8888,??????,,,1,?,?,9,11,,,,,,,,,,,,,,,,,,,,
006V,006V,01.11.1945,31.12.8888,??????,0006,,"13,25",?,?,8,11,,,,,,,,,,,,,,,,,,,,
006W,006W,01.11.1945,31.12.8888,??????,0006,,3,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006X,006X,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006Y,006Y,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006Z,006Z,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006a,006a,01.11.1945,31.12.2013,??????,,,"0,75",?,?,2,3,,,,,,,,,,,,,,,,,,,,
006b,006b,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006c,006c,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006d,006d,01.11.1945,31.12.8888,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
006e,006e,01.11.1945,31.12.8888,??????,0006,,3,?,?,11,16,,,,,,,,,,,,,,,,,,,,
006f,006f,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
006g,006g,01.11.1945,31.12.8888,??????,0006,,4,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006i,006i,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006j,006j,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006m,006m,01.11.1945,31.12.8888,??????,,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006n,006n,01.11.1945,31.12.8888,??????,,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006o,006o,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
006p,006p,01.11.1945,31.12.8888,??????,,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
006q,006q,01.11.1945,31.12.8888,??????,0006,,6,?,?,11,16,,,,,,,,,,,,,,,,,,,,
006r,006r,01.11.1945,31.12.2012,????,,,"1,5",?,?,11,17,,,,,,,,,,,,,,,,,,,,
006s,006s,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
