"POSTCH_RN,C,4","POSTBS_RN,C,4","CHSTARTDAT,D","CHENDDATE,D","ISSTAFF,L","SOSTZAT_RN,C,4","GRRBDC_RN,C,4","STQNT,N,6,3","WORKTIMECA,C,1","FZPCALC,C,1","RANKMIN,N,4,0","RANKMAX,N,4,0","WRKRANK_RN,C,4","CHNOMINATI,M","CHGENITIVE,M","CHDATIVE,M","CHACCUSATI,M","CHABLATIVE,M","CHPREPOSIT,M","CHSNOMINAT,C,240","CHSGENITIV,C,240","CHSDATIVE,C,240","CHSACCUSAT,C,240","CHSABLATIV,C,240","CHSPREPOSI,C,240","SPECPOST,C,80","SPECDBL,C,80","ADDSOLPFR,C,1","DOC_RN,C,4","DOC_NUM,C,10","DOC_DATE,D","DOCORG_RN,C,4"
00AZ,00Az,01.11.1945,31.12.8888,??????,,,1,?,?,5,9,,,,,,,,,,,,,,,,,,,,
00Aa,00A?,01.11.1945,16.02.2014,??????,0006,,3,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00Ab,00A?,01.11.1945,31.12.2013,??????,0006,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00Ac,00A?,01.11.1945,16.02.2014,??????,,,1,?,?,11,18,,,,,,,,,,,,,,,,,,,,
00Ad,00A?,01.11.1945,16.02.2014,??????,000m,,1,?,?,11,18,,,,,,,,,,,,,,,,,,,,
00Ae,00A?,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Af,00A?,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Ag,00A?,01.07.2011,31.12.8888,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Ah,00A?,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00Ai,00A?,01.11.1945,31.12.2013,??????,,,1,?,?,5,9,,,,,,,,,,,,,,,,,,,,
00Aj,00A?,01.11.1945,31.12.8888,??????,,,1,?,?,11,18,,,,,,,,,,,,,,,,,,,,
00Ak,00A?,01.11.1945,31.12.8888,??????,,,"1,25",?,?,11,16,,,,,,,,,,,,,,,,,,,,
00An,00A?,01.11.1945,31.12.8888,??????,0004,0002,8,?,?,5,11,,,,,,,,,,,,,,,,,,,,
00Ao,00A?,01.11.1945,31.12.8888,??????,0004,0002,3,?,?,5,11,,,,,,,,,,,,,,,,,,,,
00Ap,00A?,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Aq,00A?,01.11.1945,31.12.8888,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00Ar,00A?,01.11.1945,31.12.8888,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00As,00A?,01.11.1945,31.12.8888,??????,000m,0002,4,?,?,6,13,,,,,,,,,,,,,,,,,,,,
00At,00A?,01.11.1945,31.12.2013,??????,000m,0002,3,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00Au,00A?,01.11.1945,31.12.8888,??????,,,"4,5",?,?,0,0,,,,,,,,,,,,,,,,,,,,
00Av,00A?,01.11.1945,31.12.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00Aw,00A?,01.11.1945,31.12.8888,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00Ax,00A?,01.11.1945,31.12.8888,??????,,,"1,5",?,?,6,11,,,,,,,,,,,,,,,,,,,,
00Ay,00A?,01.11.1945,31.12.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00Az,00A?,01.11.1945,31.12.2013,??????,,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00A?,00A?,01.11.1945,31.12.8888,??????,000m,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00A?,00A?,01.07.2013,31.12.2013,??????,0006,0002,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00A?,00A?,01.11.1945,31.12.8888,??????,,,2,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00A?,00A?,01.11.1945,31.12.8888,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00B0,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00B2,01.11.1945,31.12.8888,??????,0006,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00B3,01.11.1945,31.12.8888,??????,,,1,,,6,11,,,,,,,,,,,,,,,,,,,,
00A?,00B4,01.11.1945,31.12.8888,??????,,,"0,5",,,6,11,,,,,,,,,,,,,,,,,,,,
00A?,00B6,01.11.1945,31.12.2013,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00A?,00B7,01.11.1945,31.12.8888,??????,,000H,1,?,?,7,8,,,,,,,,,,,,,,,,,,,,
00A?,00B8,01.11.1945,31.12.8888,??????,000m,000H,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00B9,01.11.1945,31.12.8888,??????,,,1,,,8,12,,,,,,,,,,,,,,,,,,,,
00A?,00BF,01.11.1945,31.12.8888,??????,000m,000H,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BI,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BJ,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BK,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BL,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BM,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BN,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BO,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00BR,01.11.1945,31.12.8888,??????,0006,,"71,25",?,,2,3,,,,,,,,,,,,,,,,,,,,
00A?,00BS,01.11.1945,31.12.8888,??????,0006,,"41,25",?,,3,4,,,,,,,,,,,,,,,,,,,,
00A?,00BU,01.11.1945,31.12.8888,??????,0006,,"11,75",?,?,4,4,,,,,,,,,,,,,,,,,,,,
00A?,00Bc,01.11.1945,31.12.8888,??????,000m,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00Be,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00A?,00Bj,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,14,18,,,,,,,,,,,,,,,,,,,,
00A?,00Bn,01.11.1945,31.12.2013,??????,000m,,1,?,?,6,13,,,,,,,,,,,,,,,,,,,,
00A?,00Bo,01.11.1945,31.12.2013,??????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00A?,00Bp,01.11.1945,31.12.2013,??????,000m,000H,2,?,?,2,2,,,,,,,,,,,,,,,,,,,,
00B0,00Br,01.11.1945,31.12.8888,??????,000m,,1,,,3,3,,,,,,,,,,,,,,,,,,,,
00B3,00Bv,01.11.1945,31.12.8888,??????,0006,,1,?,?,6,10,,,,,,,,,,,,,,,,,,,,
00B4,00By,01.11.1945,31.12.2013,??????,0006,000G,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00B5,00B?,01.11.1945,31.12.8888,??????,000m,0002,1,?,?,14,15,,,,,,,,,,,,,,,,,,,,
00B7,00B?,01.11.1946,31.12.8888,??????,000m,,1,,,12,18,,,,,,,,,,,,,,,,,,,,
00B8,00B?,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00B9,00B?,01.11.1945,31.12.8888,??????,000m,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00BA,00B?,01.11.1945,31.12.8888,??????,000m,,1,,,6,11,,,,,,,,,,,,,,,,,,,,
00BC,00B?,01.11.1945,31.12.8888,??????,000m,,2,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00BD,00B?,01.11.1945,31.12.8888,??????,000m,0002,1,?,?,4,5,,,,,,,,,,,,,,,,,,,,
00BE,00B?,01.11.1945,31.12.8888,??????,000m,,"0,001",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00BF,00B?,01.11.1945,31.12.8888,??????,000m,,1,?,,0,0,,,,,,,,,,,,,,,,,,,,
00BG,00B?,01.11.1945,31.12.8888,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00BH,00B?,01.11.1945,31.12.8888,??????,,,3,?,?,11,0,,,,,,,,,,,,,,,,,,,,
00BI,00B?,01.11.1945,31.12.8888,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00BK,00B?,01.11.1945,31.12.8888,??????,,,1,?,?,1,2,,,,,,,,,,,,,,,,,,,,
00BL,00B?,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00BM,00B?,01.11.1945,31.12.8888,??????,0006,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00BN,00B?,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00BO,00B?,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00BP,00B?,01.11.1945,31.12.8888,??????,000m,0002,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00BQ,00B?,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,14,,,,,,,,,,,,,,,,,,,,
00BR,00B?,01.11.1945,31.12.8888,??????,000m,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00BS,00B?,01.11.1945,31.12.8888,??????,0006,,3,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00BT,00B?,01.11.1945,31.12.8888,??????,000m,,2,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00BU,00B?,01.11.1945,31.12.8888,??????,,,1,,,6,11,,,,,,,,,,,,,,,,,,,,
00BV,00B?,01.11.1945,31.12.8888,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00BW,00C0,01.11.1945,31.12.8888,??????,0006,000G,1,,,8,11,,,,,,,,,,,,,,,,,,,,
00BY,00C2,01.11.1945,31.12.8888,??????,000m,0002,7,?,?,4,4,,,,,,,,,,,,,,,,,,,,
00BZ,00C4,01.11.1945,31.12.8888,??????,000m,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Ba,00C5,01.11.1945,31.12.8888,??????,000m,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Bb,00C6,01.11.1945,31.12.8888,??????,000m,,1,?,?,6,10,,,,,,,,,,,,,,,,,,,,
00Bc,00C7,01.11.1945,31.12.8888,??????,000m,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Bd,00C8,01.11.1945,31.12.8888,??????,000m,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Bf,00CA,01.11.1945,31.12.8888,??????,000m,,"2,25",?,?,12,17,,,,,,,,,,,,,,,,,,,,
00Bg,00CB,01.11.1945,31.12.8888,??????,000m,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00Bh,00CC,01.11.1945,31.12.8888,??????,000m,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00Bi,00CE,01.11.1945,31.12.8888,??????,000m,,"1,5",,,6,10,,,,,,,,,,,,,,,,,,,,
00Bj,00CF,01.11.1945,31.12.8888,??????,000m,,1,?,,2,3,,,,,,,,,,,,,,,,,,,,
00Bn,00CJ,01.11.1945,31.12.8888,??????,0006,,"9,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Bo,00CK,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Bp,00CM,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Bq,00CN,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Bs,00CP,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00Bt,00CQ,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00Bv,00CS,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00By,00CV,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Bz,00CW,01.11.1945,31.12.8888,??????,0006,,"1,75",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00B?,00CY,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00B?,00CZ,01.11.1945,31.12.8888,??????,0006,,5,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00B?,00Cb,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00B?,00Cg,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00B?,00Cj,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00B?,00Cl,01.11.1945,31.12.8888,??????,0006,,"30,25",?,?,12,17,,,,,,,,,,,,,,,,,,,,
00B?,00Cn,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00B?,00Co,01.11.1945,31.12.8888,??????,0006,,"4,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
00B?,00Cp,01.11.1945,31.12.8888,??????,0006,0002,"0,5",?,?,11,14,,,,,,,,,,,,,,,,,,,,
00B?,00Ct,01.11.1945,31.12.8888,??????,0006,,6,?,,2,3,,,,,,,,,,,,,,,,,,,,
00B?,00Cu,01.11.1945,31.12.8888,??????,000P,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00B?,00Cv,01.11.1945,31.12.8888,??????,000P,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00B?,00Cw,01.11.1945,31.12.8888,??????,000P,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00B?,00Cx,01.11.1945,31.12.8888,??????,000P,,1,?,,2,3,,,,,,,,,,,,,,,,,,,,
00B?,00Cz,01.11.1945,31.12.8888,??????,000P,,2,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00B?,00C?,01.11.1945,31.12.8888,??????,000P,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00B?,00C?,01.11.1945,31.12.8888,??????,0006,,"1,25",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00B?,00C?,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C0,00C?,01.11.1945,31.12.8888,??????,000m,0002,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C1,00C?,01.11.1945,31.12.8888,??????,000m,0002,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00C2,00C?,01.11.1945,31.12.8888,??????,000m,0002,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00C3,00C?,01.11.1945,31.12.8888,??????,000m,,25,?,?,2,2,,,,,,,,,,,,,,,,,,,,
00C4,00C?,01.11.1945,31.12.8888,??????,000m,,1,?,?,5,9,,,,,,,,,,,,,,,,,,,,
00C5,00C?,01.11.1945,31.12.8888,??????,000m,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00C6,00C?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C7,00C?,01.11.1945,31.12.8888,??????,000m,,2,?,?,11,14,,,,,,,,,,,,,,,,,,,,
00C8,00C?,01.11.1945,31.12.8888,????,000m,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00CB,00C?,01.11.1945,31.12.8888,??????,,,1,?,?,6,10,,,,,,,,,,,,,,,,,,,,
00CC,00C?,01.11.1945,31.12.8888,??????,000m,,1,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00CD,00C?,01.11.1945,31.12.8888,??????,000m,,2,?,?,10,14,,,,,,,,,,,,,,,,,,,,
00CE,00C?,01.11.1945,31.12.8888,????,0006,,3,?,?,6,10,,,,,,,,,,,,,,,,,,,,
00CF,00C?,01.11.1945,31.12.8888,????,000m,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00CG,00C?,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00CH,00C?,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00CJ,00C?,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00CK,00C?,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00CL,00C?,01.11.1945,31.12.8888,??????,0006,,"12,75",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00CM,00C?,01.11.1945,31.12.8888,??????,,,1,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00CN,00C?,01.11.1945,31.12.8888,??????,0006,,4,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00CO,00D0,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00CP,00D2,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00CR,00DB,01.11.1945,31.12.8888,??????,0006,,11,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00CS,00DF,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00CT,00DG,01.11.1945,31.12.8888,??????,0006,,"9,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00CU,00DI,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,4,,,,,,,,,,,,,,,,,,,,
00CV,00DL,01.11.1945,31.12.8888,??????,0006,,"8,25",?,?,3,4,,,,,,,,,,,,,,,,,,,,
00CW,00DM,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00CX,00DN,01.11.1945,31.12.8888,??????,0006,,"2,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00CY,00DQ,01.11.1945,31.12.8888,??????,0006,,3,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00CZ,00DV,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Ca,00DY,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Cb,00Da,01.11.1945,31.12.8888,??????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00Cc,00Dc,01.11.1945,31.12.2013,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00Cd,00Dk,01.11.1945,31.12.8888,??????,0006,,"2,5",?,?,0,0,,,,,,,,,,,,,,,,,,,,
00Ce,00Dl,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00Cf,00Dm,01.11.1945,31.12.8888,??????,,,2,?,?,6,10,,,,,,,,,,,,,,,,,,,,
00Cg,00Dn,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Ch,00Do,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Ci,00Dq,01.11.1945,31.12.8888,??????,0006,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
00Cj,00Dr,01.11.1945,31.12.8888,??????,0006,,4,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00Cl,00Dt,01.11.1945,31.12.8888,??????,0006,,"12,75",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Cm,00Du,01.11.1945,31.12.8888,??????,0006,000G,1,,,8,11,,,,,,,,,,,,,,,,,,,,
00Cn,00Dv,01.11.1945,31.12.8888,??????,0006,,"1,25",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Co,00Dw,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00Cp,00Dx,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
00Cq,00Dy,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00Cr,00Dz,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Cs,00D?,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00Ct,00D?,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Cu,00D?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
00Cv,00D?,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Cw,00D?,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00Cx,00D?,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00Cy,00D?,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00Cz,00D?,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,"9,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,4,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,"4,75",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,"4,75",?,?,3,4,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,,,6,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,"9,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,4,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,,,3,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,0006,,1,?,?,4,5,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,000M,,4,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00C?,00D?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00E1,01.11.1945,31.12.8888,??????,000M,,"5,25",?,?,11,16,,,,,,,,,,,,,,,,,,,,
00C?,00E2,01.11.1945,31.12.8888,??????,000M,,1,?,?,9,11,,,,,,,,,,,,,,,,,,,,
00C?,00E3,01.11.1945,31.12.8888,??????,000M,,16,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00E4,01.11.1945,31.12.8888,??????,0006,,2,?,?,4,5,,,,,,,,,,,,,,,,,,,,
00C?,00E5,01.11.1945,31.12.8888,??????,000M,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
00C?,00E7,01.11.1945,31.12.8888,??????,000M,,"9,25",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00E9,01.11.1945,31.12.8888,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00C?,00EB,01.11.1945,31.12.8888,??????,,,2,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00C?,00EF,01.11.1945,31.12.8888,??????,0009,,1,?,?,4,5,,,,,,,,,,,,,,,,,,,,
00C?,00EJ,01.11.1945,31.12.8888,??????,0009,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00EK,01.11.1945,31.12.8888,??????,0009,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00ER,01.11.1945,31.12.8888,??????,000m,0002,2,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00C?,00Ec,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
00C?,00Ed,01.11.1945,31.12.8888,??????,000m,0002,4,?,?,6,13,,,,,,,,,,,,,,,,,,,,
00C?,00Ee,01.11.1945,31.12.8888,??????,0008,,4,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00C?,00Eh,01.11.1945,31.12.8888,??????,0008,,24,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00C?,00Ei,17.02.2014,31.12.8888,??????,0008,,"0,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
00C?,00Ep,01.11.1945,31.12.8888,??????,0008,,8,?,?,8,11,,,,,,,,,,,,,,,,,,,,
00C?,00Er,01.11.1945,31.12.8888,??????,0008,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00Es,01.11.1945,31.12.8888,??????,0008,,"13,75",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00Et,01.11.1945,31.12.8888,??????,0008,,4,?,?,2,3,,,,,,,,,,,,,,,,,,,,
00C?,00Ey,01.11.1945,31.12.8888,??????,000m,,"0,5",?,?,7,10,,,,,,,,,,,,,,,,,,,,
00C?,00E?,01.11.1945,31.12.8888,??????,000m,,2,?,?,6,10,,,,,,,,,,,,,,,,,,,,
00D0,00E?,01.11.1945,31.12.8888,??????,0006,,"1,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
00D1,00E?,01.11.1945,31.12.8888,??????,000m,,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
00D2,00E?,01.11.1945,31.12.8888,??????,000m,,2,?,?,0,0,,,,,,,,,,,,,,,,,,,,
00D5,00E?,01.11.1945,31.12.8888,??????,000m,0002,2,?,?,6,11,,,,,,,,,,,,,,,,,,,,
00D6,00E?,01.11.1945,31.12.8888,??????,000m,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
00D8,00E?,01.11.1945,31.12.8888,??????,000m,,1,?,?,11,18,,,,,,,,,,,,,,,,,,,,
00DA,00F3,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,0,0,,,,,,,,,,,,,,,,,,,,
00DB,00F5,01.11.1945,31.12.8888,??????,000m,,8,?,?,6,10,,,,,,,,,,,,,,,,,,,,
00DC,00FA,01.11.1945,31.12.8888,??????,000m,,6,?,,2,3,,,,,,,,,,,,,,,,,,,,
00DD,00FB,01.11.1945,31.12.8888,??????,0004,0002,5,?,?,5,11,,,,,,,,,,,,,,,,,,,,
00DE,00FE,01.11.1945,31.12.8888,??????,000m,,10,?,?,4,4,,,,,,,,,,,,,,,,,,,,
00DF,00FF,01.11.1945,31.12.8888,??????,000m,,4,?,?,2,2,,,,,,,,,,,,,,,,,,,,
